,bamid,approach_vertical,vertical_jump,3/4_court_sprint,4-way_agility,reaction_shuttle,bamscore,wingspan,reach,height,weight,body_comp,hand_length,hand_width
189,373.0,31.829614604462474,27.0,3.422,12.679,3.67,1794.0,76.5,95.5,74.0,189.0,22.0,8.0,8.5
190,1180.0,31.0,22.5,3.467046660117878,12.247189108910884,3.5052431640624997,1970.0,78.08979743083005,98.71417984189723,75.09419466403162,180.7358201581028,14.97949604743083,8.049381188118812,8.876189296333004
191,398.0,34.5,28.0,3.383,11.893,3.28,2003.0,75.0,93.5,70.0,165.5,17.7,7.5,8.5
192,1476.0,29.0,24.0,3.322,12.004,3.447,1905.0,75.0,97.0,74.0,190.0,19.8,8.0,8.25
193,1091.0,32.0,26.5,3.354,11.763,3.239,1998.0,78.0,101.0,78.0,175.0,14.5,8.0,9.5
194,1087.0,32.0,27.0,3.372,12.448,3.786,1847.0,82.0,103.0,76.0,189.0,9.4,9.25,10.0
195,980.0,32.5,27.0,3.559,12.157,3.935,1795.0,75.0,95.0,72.5,184.5,18.1,7.5,8.25
196,1177.0,32.5,25.5,3.272,12.653,3.782,1844.0,72.0,92.0,69.75,141.0,6.2,7.5,8.25
197,1268.0,37.5,30.0,3.134,11.876,3.099,2112.0,78.5,98.0,73.5,176.0,15.6,8.25,8.5
198,964.0,35.0,30.5,3.203,10.982,3.227,2125.0,78.0,98.5,75.5,181.9,18.8,8.0,8.75
199,1276.0,29.0,25.0,3.322,12.824,3.34,1882.0,74.5,94.5,72.0,174.0,15.5,8.0,9.25
200,638.0,30.5,25.5,3.282,11.9,3.239,1977.0,74.0,96.0,71.0,171.0,20.4,8.25,8.75
201,570.0,31.829614604462474,26.5,3.321,12.184,3.719,1832.0,83.0,104.5,80.0,201.3,23.4,8.0,9.0
202,926.0,31.829614604462474,26.5,3.498,12.069,3.432,1874.0,74.5,95.5,74.0,192.1,19.2,7.5,8.25
203,763.0,36.0,28.5,3.433,12.397,3.508,1940.0,73.5,92.5,70.5,151.6,7.6,7.75,8.25
204,571.0,22.5,16.0,3.762,12.522,3.552,1608.0,66.0,87.5,67.5,126.0,14.2,7.5,7.75
205,318.0,31.5,25.5,3.293,11.5159999999999,3.433,1925.0,75.0,95.5,73.0,176.0,14.1,8.0,8.75
206,686.0,28.0,24.0,3.414,13.327,3.562,1781.0,85.5,107.0,80.75,183.5,19.7,9.0,9.0
207,806.0,35.0,29.0,3.431,11.852,3.415,1989.0,83.0,102.5,77.5,178.0,16.4,8.0,9.5
208,211.0,35.5,28.5,3.388,11.724,3.451,2041.0,78.0,99.0,75.0,149.2,6.1,7.5,8.5
209,1205.0,33.5,27.5,4.603,12.812,3.94,1581.0,80.0,101.0,77.75,216.0,10.9,8.0,9.0
210,691.0,35.0,27.5,3.492,11.482,3.427,1984.0,76.5,94.0,71.0,174.2,10.4,8.0,9.0
211,265.0,27.5,21.5,3.841,12.957,4.205,1536.0,75.0,93.5,73.0,157.0,15.2,8.0,9.25
212,930.0,41.0,29.5,3.467046660117878,12.247189108910884,3.5052431640624997,2280.0,78.08979743083005,98.71417984189723,75.09419466403162,180.7358201581028,14.97949604743083,8.049381188118812,8.876189296333004
213,603.0,32.5,27.0,3.191,12.602,3.544,1929.0,79.5,100.5,73.75,177.5,10.4,9.75,10.25
214,1277.0,31.829614604462474,25.860157016683022,3.382,13.404,3.647,1642.0,78.08979743083005,98.71417984189723,75.09419466403162,180.7358201581028,14.97949604743083,8.049381188118812,8.876189296333004
215,643.0,26.0,24.5,3.955,13.2229999999999,3.529,1662.0,82.0,103.0,76.5,261.0,34.5,8.5,9.75
216,464.0,31.829614604462474,25.860157016683022,3.42,11.183,3.226,1983.0,72.0,92.0,71.75,150.9,13.5,7.75,8.5
217,274.0,31.0,23.5,3.474,13.294,3.555,1793.0,82.5,102.0,79.5,201.0,20.2,8.0,9.0
218,784.0,34.0,28.0,3.115,12.912,3.66,1922.0,75.5,96.5,71.0,173.0,18.5,7.75,8.5
219,886.0,30.5,25.5,3.467046660117878,12.247189108910884,3.5052431640624997,2030.0,78.08979743083005,98.71417984189723,75.09419466403162,180.7358201581028,14.97949604743083,8.049381188118812,8.876189296333004
220,764.0,29.5,22.5,3.424,12.712,3.515,1824.0,81.25,105.5,79.0,208.0,9.9,8.5,9.5
221,675.0,24.5,18.0,3.386,13.2809999999999,3.675,1665.0,82.5,110.0,82.0,243.4,15.2,8.25,9.0
222,394.0,34.0,27.0,4.608,12.342,3.269,1749.0,78.5,102.0,78.0,160.6,4.0,8.0,8.5
223,484.0,36.0,31.0,3.541,12.306,3.24,1984.0,81.5,100.5,74.5,192.5,12.3,8.5,8.0
224,513.0,37.5,32.0,3.212,11.594,3.358,2077.0,78.5,97.5,74.0,165.8,17.7,8.0,9.0
225,1296.0,30.0,24.5,3.566,12.251,3.208,1898.0,81.0,99.5,74.5,178.8,19.4,8.5,9.25
226,678.0,29.5,22.5,3.325,12.8579999999999,3.69,1794.0,71.5,89.0,66.0,111.9,10.6,7.0,8.25
227,1486.0,33.0,28.5,3.407,11.851,3.684,2016.0,77.0,98.0,73.5,196.4,20.1,7.5,8.5
228,348.0,36.5,27.0,3.467046660117878,12.247189108910884,3.5052431640624997,2162.0,78.08979743083005,98.71417984189723,75.09419466403162,180.7358201581028,14.97949604743083,8.049381188118812,8.876189296333004
229,215.0,31.0,21.5,3.429,12.173,3.684,1882.0,69.0,89.0,70.5,159.5,12.8,7.5,8.5
230,878.0,31.5,25.0,3.347,12.084,3.213,1962.0,79.0,101.5,76.5,187.0,17.8,8.25,9.5
231,877.0,29.5,24.5,3.926,12.903,3.536,1719.0,79.0,101.0,77.75,185.6,20.9,8.0,9.0
232,874.0,31.829614604462474,25.860157016683022,3.376,12.009,3.496,1835.0,76.0,96.0,73.0,176.0,14.7,7.5,8.25
233,1376.0,30.5,24.5,9.954,11.86,3.318,1552.0,75.0,94.0,71.5,154.2,13.9,7.25,8.25
234,1355.0,32.0,24.0,3.408,12.314,3.265,1923.0,79.0,98.5,74.5,191.0,21.2,8.5,9.0
235,765.0,33.0,22.0,3.725,12.722,3.643,1756.0,79.0,102.0,76.0,184.4,9.0,8.5,9.0
236,1145.0,35.5,27.5,3.283,12.167,3.492,1972.0,78.0,98.5,73.0,171.0,20.1,8.0,8.5
237,510.0,35.0,25.860157016683022,3.332,11.4259999999999,3.65199999999999,1941.0,76.5,96.5,74.0,212.2,22.6,7.5,8.75
238,1068.0,34.5,28.0,3.376,13.603,3.436,1875.0,80.5,99.5,74.75,163.0,17.8,8.5,9.0
239,1337.0,32.5,26.5,3.507,12.663,3.239,1911.0,79.0,101.5,77.0,170.0,14.1,8.5,9.0
240,1293.0,33.5,27.5,3.215,13.17,3.236,1954.0,76.0,99.0,75.0,167.0,14.3,8.0,10.0
241,432.0,34.0,28.0,3.388,11.3929999999999,3.491,1997.0,80.0,99.5,75.5,168.8,6.4,8.25,9.0
242,946.0,30.0,25.0,3.386,13.171,3.594,1814.0,84.5,108.0,80.5,196.2,9.8,9.0,9.5
243,1448.0,37.0,29.5,3.22,11.703,3.083,2101.0,76.0,97.5,74.5,185.0,18.8,8.0,9.75
244,248.0,38.5,30.0,3.245,11.8809999999999,3.676,1994.0,71.5,89.5,68.25,166.0,20.3,7.75,8.0
245,735.0,32.5,28.0,3.372,11.718,3.22399999999999,2013.0,75.0,93.0,72.0,169.8,17.1,7.0,8.25
246,1362.0,34.0,26.5,3.384,12.988,3.819,1812.0,75.5,98.0,74.0,160.0,14.2,8.0,8.5
247,1224.0,30.5,26.0,3.425,12.173,3.361,1922.0,77.0,98.5,73.5,159.2,8.8,8.0,8.0
248,476.0,27.5,20.5,3.605,12.229,3.882,1687.0,81.25,104.0,78.5,210.3,11.3,8.5,10.0
249,1397.0,32.5,24.5,3.286,11.481,2.962,2055.0,76.0,99.0,76.5,173.0,14.4,8.0,8.25
250,1245.0,30.0,24.5,3.724,13.212,3.714,1712.0,81.0,102.0,78.5,214.0,19.9,8.5,9.5
251,359.0,28.5,21.0,3.335,12.616,3.446,1830.0,70.0,91.5,71.0,138.0,6.8,7.25,7.75
252,285.0,30.0,23.5,3.442,13.284,3.244,1819.0,77.0,96.5,74.0,189.0,18.9,8.0,8.0
253,507.0,35.5,30.5,3.376,11.639,3.536,2001.0,76.25,96.0,71.75,189.2,13.0,8.0,8.75
254,706.0,26.0,20.5,3.692,11.576,3.187,1837.0,71.75,91.0,71.0,139.8,4.0,8.0,8.75
255,1412.0,30.5,24.5,3.567,13.235,4.145,1643.0,78.0,99.0,75.0,202.4,29.0,8.25,8.5
256,876.0,30.5,25.5,3.523,12.584,3.388,1864.0,81.0,103.5,78.5,190.2,16.3,8.25,9.5
257,1006.0,30.0,24.0,3.475,12.745,3.906,1740.0,78.25,99.0,75.5,196.2,21.0,8.5,9.75
258,297.0,31.0,23.5,3.382,12.663,3.81399999999999,1790.0,79.5,101.0,76.0,181.4,12.1,7.75,8.0
259,465.0,35.0,26.0,3.279,11.792,3.548,1971.0,77.5,96.5,72.5,146.3,8.6,7.5,8.25
260,393.0,34.5,28.5,3.307,12.082,3.476,1978.0,78.0,101.0,78.0,195.0,20.1,8.25,9.0
261,716.0,33.5,25.5,3.53,11.779,3.595,1902.0,80.0,97.0,73.5,205.5,23.7,8.75,8.75
262,1158.0,22.0,18.5,4.45,13.093,3.767,1438.0,80.5,105.0,80.5,0.0,0.0,9.0,9.75
263,1319.0,33.0,28.0,3.343,11.084,3.301,2049.0,77.0,98.5,75.5,197.0,16.8,7.5,8.25
264,1436.0,35.0,27.0,3.413,12.148,3.565,1932.0,80.5,100.5,77.0,184.45,15.9,8.25,8.5
265,459.0,31.0,27.0,3.237,12.263,3.328,1966.0,79.5,103.5,79.0,200.0,19.9,8.5,9.0
266,865.0,34.0,28.0,3.234,13.033,3.41899999999999,1937.0,83.5,105.5,79.0,187.7,17.6,8.0,9.5
267,433.0,39.0,30.5,3.116,11.372,3.929,1995.0,78.75,97.5,73.0,170.6,10.2,8.5,9.0
268,1237.0,30.5,24.5,3.424,12.738,3.552,1842.0,76.0,95.5,71.75,224.2,19.9,8.25,9.25
269,1135.0,32.5,28.5,3.13,11.3129999999999,3.108,2108.0,73.0,93.0,72.0,147.4,12.2,7.0,7.75
270,866.0,34.5,26.5,3.417,11.922,3.377,1970.0,83.0,104.0,78.5,228.7,25.4,8.0,9.0
271,623.0,30.0,24.5,3.376,11.9409999999999,3.50399999999999,1904.0,77.5,99.0,76.25,202.6,11.3,8.0,9.0
272,1323.0,31.829614604462474,17.5,3.393,11.457,3.531,1799.0,79.0,100.5,77.0,195.4,15.9,7.5,8.75
273,596.0,34.0,28.0,3.244,11.0209999999999,3.304,2079.0,72.0,92.0,71.0,158.7,17.6,7.5,8.25
274,777.0,31.829614604462474,19.0,3.281,11.527,3.851,1755.0,78.0,100.5,76.5,224.9,24.4,8.0,9.0
275,1514.0,29.5,21.5,3.524,12.413,3.296,1838.0,76.0,98.5,75.0,146.0,6.1,8.0,8.25
276,1152.0,32.5,25.860157016683022,3.386,12.24,3.208,2044.0,83.0,98.0,78.0,196.0,9.1,8.75,9.0
277,1108.0,37.0,29.5,3.416,12.579,3.946,1842.0,80.0,99.5,75.0,177.2,7.1,8.25,8.5
278,1174.0,28.0,23.5,3.431,12.193,3.281,1891.0,78.0,98.0,76.0,186.0,18.8,7.75,7.75
279,640.0,29.5,23.0,3.61,12.247189108910884,3.291,1892.0,80.0,101.5,79.0,189.6,18.9,7.5,8.75
280,460.0,32.5,26.5,3.406,11.486,3.419,1970.0,73.0,97.5,74.5,170.0,6.3,7.5,8.25
281,816.0,31.829614604462474,32.0,3.388,13.162,3.813,1759.0,78.5,99.0,75.25,175.2,7.1,8.25,8.5
282,1490.0,37.0,29.0,3.808,11.929,3.337,2175.0,150.0,77.0,190.7,190.7,9.0,8.0,8.5
283,298.0,33.5,29.0,3.446,11.94,3.696,1913.0,80.0,103.0,81.0,162.5,14.9,8.0,8.75
284,1236.0,31.0,25.0,3.186,11.186,3.534,1991.0,72.5,91.0,71.0,151.3,15.2,7.0,8.25
285,744.0,32.0,28.0,3.627,11.825,3.382,1948.0,73.75,92.5,69.75,192.9,23.6,8.0,8.5
286,203.0,32.5,24.5,3.412,11.625,3.268,1976.0,75.0,96.5,74.5,162.4,16.8,7.5,8.25
287,940.0,31.829614604462474,28.5,3.588,12.795,3.54399999999999,1792.0,77.5,99.5,74.5,176.8,16.6,8.0,9.25
288,1348.0,31.829614604462474,25.860157016683022,3.43,11.511,3.29,1927.0,74.0,96.0,73.25,146.5,11.5,7.0,8.0
289,550.0,37.0,28.5,3.194,10.3709999999999,3.207,2178.0,71.5,90.5,71.0,169.2,14.5,7.0,8.5
290,1354.0,34.0,28.0,3.296,12.305,3.721,1908.0,75.0,93.0,70.0,152.8,14.0,8.0,8.0
291,228.0,31.0,26.0,3.46,12.184,3.079,1959.0,79.0,98.0,74.0,190.0,17.5,8.75,9.75
